term,year,date,pmid,pmcid,link,title,journal,authors,abstract
Illumina Hiseq,2013,2013/1/1:2013/1/31,23360210,3594069,https://www.ncbi.nlm.nih.gov/pubmed/23360210,"The mitochondrial genome and a 60-kb nuclear DNA segment from Naegleria fowleri, the causative agent of primary amoebic meningoencephalitis.",The Journal of eukaryotic microbiology,"Herman EK, Greninger AL, Visvesvara GS, Marciano-Cabral F, Dacks JB, Chiu CY","Naegleria fowleri is a unicellular eukaryote causing primary amoebic meningoencephalitis, a neuropathic disease killing 99% of those infected, usually within 7-14 days. Naegleria fowleri is found globally in regions including the US and Australia. The genome of the related nonpathogenic species Naegleria gruberi has been sequenced, but the genetic basis for N. fowleri pathogenicity is unclear. To generate such insight, we sequenced and assembled the mitochondrial genome and a 60-kb segment of nuclear genome from N. fowleri. The mitochondrial genome is highly similar to its counterpart in N. gruberi in gene complement and organization, while distinct lack of synteny is observed for the nuclear segments. Even in this short (60-kb) segment, we identified examples of potential factors for pathogenesis, including ten novel N. fowleri-specific genes. We also identified a homolog of cathepsin B; proteases proposed to be involved in the pathogenesis of diverse eukaryotic pathogens, including N. fowleri. Finally, we demonstrate a likely case of horizontal gene transfer between N. fowleri and two unrelated amoebae, one of which causes granulomatous amoebic encephalitis. This initial look into the N. fowleri nuclear genome has revealed several examples of potential pathogenesis factors, improving our understanding of a neglected pathogen of increasing global importance."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23372565,3557397,https://www.ncbi.nlm.nih.gov/pubmed/23372565,Genome-wide assessment of the association of rare and common copy number variations to testicular germ cell cancer.,Frontiers in endocrinology,"Edsgärd D, Dalgaard MD, Weinhold N, Wesolowska-Andersen A, Rajpert-De Meyts E, Ottesen AM, Juul A, Skakkebæk NE, Skøt Jensen T, Gupta R, Leffers H, Brunak S","Testicular germ cell cancer (TGCC) is one of the most heritable forms of cancer. Previous genome-wide association studies have focused on single nucleotide polymorphisms, largely ignoring the influence of copy number variants (CNVs). Here we present a genome-wide study of CNV on a cohort of 212 cases and 437 controls from Denmark, which was genotyped at ∼1.8 million markers, half of which were non-polymorphic copy number markers. No association of common variants were found, whereas analysis of rare variants (present in less than 1% of the samples) initially indicated a single gene with significantly higher accumulation of rare CNVs in cases as compared to controls, at the gene PTPN1 (P = 3.8 × 10(-2), 0.9% of cases and 0% of controls). However, the CNV could not be verified by qPCR in the affected samples. Further, the CNV calling of the array-data was validated by sequencing of the GSTM1 gene, which showed that the CNV frequency was in complete agreement between the two platforms. This study therefore disconfirms the hypothesis that there exists a single CNV locus with a major effect size that predisposes to TGCC. Genome-wide pathway association analysis indicated a weak association of rare CNVs related to cell migration (false-discovery rate = 0.021, 1.8% of cases and 1.1% of controls). Dysregulation during migration of primordial germ cells has previously been suspected to be a part of TGCC development and this set of multiple rare variants may thereby have a minor contribution to an increased susceptibility of TGCCs."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23358824,3627565,https://www.ncbi.nlm.nih.gov/pubmed/23358824,Fast and accurate read mapping with approximate seeds and multiple backtracking.,Nucleic acids research,"Siragusa E, Weese D, Reinert K","We present Masai, a read mapper representing the state-of-the-art in terms of speed and accuracy. Our tool is an order of magnitude faster than RazerS 3 and mrFAST, 2-4 times faster and more accurate than Bowtie 2 and BWA. The novelties of our read mapper are filtration with approximate seeds and a method for multiple backtracking. Approximate seeds, compared with exact seeds, increase filtration specificity while preserving sensitivity. Multiple backtracking amortizes the cost of searching a large set of seeds by taking advantage of the repetitiveness of next-generation sequencing data. Combined together, these two methods significantly speed up approximate search on genomic data sets. Masai is implemented in C++ using the SeqAn library. The source code is distributed under the BSD license and binaries for Linux, Mac OS X and Windows can be freely downloaded from http://www.seqan.de/projects/masai."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23358822,3597698,https://www.ncbi.nlm.nih.gov/pubmed/23358822,Genome-wide localization of exosome components to active promoters and chromatin insulators in Drosophila.,Nucleic acids research,"Lim SJ, Boyle PJ, Chinen M, Dale RK, Lei EP","Chromatin insulators are functionally conserved DNA-protein complexes situated throughout the genome that organize independent transcriptional domains. Previous work implicated RNA as an important cofactor in chromatin insulator activity, although the precise mechanisms are not yet understood. Here we identify the exosome, the highly conserved major cellular 3' to 5' RNA degradation machinery, as a physical interactor of CP190-dependent chromatin insulator complexes in Drosophila. Genome-wide profiling of exosome by ChIP-seq in two different embryonic cell lines reveals extensive and specific overlap with the CP190, BEAF-32 and CTCF insulator proteins. Colocalization occurs mainly at promoters but also boundary elements such as Mcp, Fab-8, scs and scs', which overlaps with a promoter. Surprisingly, exosome associates primarily with promoters but not gene bodies of active genes, arguing against simple cotranscriptional recruitment to RNA substrates. Similar to insulator proteins, exosome is also significantly enriched at divergently transcribed promoters. Directed ChIP of exosome in cell lines depleted of insulator proteins shows that CTCF is required specifically for exosome association at Mcp and Fab-8 but not other sites, suggesting that alternate mechanisms must also contribute to exosome chromatin recruitment. Taken together, our results reveal a novel positive relationship between exosome and chromatin insulators throughout the genome."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23359684,3581983,https://www.ncbi.nlm.nih.gov/pubmed/23359684,Landscape of somatic single-nucleotide and copy-number mutations in uterine serous carcinoma.,Proceedings of the National Academy of Sciences of the United States of America,"Zhao S, Choi M, Overton JD, Bellone S, Roque DM, Cocco E, Guzzo F, English DP, Varughese J, Gasparrini S, Bortolomai I, Buza N, Hui P, Abu-Khalaf M, Ravaggi A, Bignotti E, Bandiera E, Romani C, Todeschini P, Tassi R, Zanotti L, Carrara L, Pecorelli S, Silasi DA, Ratner E, Azodi M, Schwartz PE, Rutherford TJ, Stiegler AL, Mane S, Boggon TJ, Schlessinger J, Lifton RP, Santin AD","Uterine serous carcinoma (USC) is a biologically aggressive subtype of endometrial cancer. We analyzed the mutational landscape of USC by whole-exome sequencing of 57 cancers, most of which were matched to normal DNA from the same patients. The distribution of the number of protein-altering somatic mutations revealed that 52 USC tumors had fewer than 100 (median 36), whereas 5 had more than 3,000 somatic mutations. The mutations in these latter tumors showed hallmarks of defects in DNA mismatch repair. Among the remainder, we found a significantly increased burden of mutation in 14 genes. In addition to well-known cancer genes (i.e., TP53, PIK3CA, PPP2R1A, KRAS, FBXW7), there were frequent mutations in CHD4/Mi2b, a member of the NuRD-chromatin-remodeling complex, and TAF1, an element of the core TFIID transcriptional machinery. Additionally, somatic copy-number variation was found to play an important role in USC, with 13 copy-number gains and 12 copy-number losses that occurred more often than expected by chance. In addition to loss of TP53, we found frequent deletion of a small segment of chromosome 19 containing MBD3, also a member of the NuRD-chromatin-modification complex, and frequent amplification of chromosome segments containing PIK3CA, ERBB2 (an upstream activator of PIK3CA), and CCNE1 (a target of FBXW7-mediated ubiquitination). These findings identify frequent mutation of DNA damage, chromatin remodeling, cell cycle, and cell proliferation pathways in USC and suggest potential targets for treatment of this lethal variant of endometrial cancer."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23372550,3556559,https://www.ncbi.nlm.nih.gov/pubmed/23372550,Clonal evolution and therapeutic resistance in solid tumors.,Frontiers in pharmacology,"Barrett MT, Lenkiewicz E, Evers L, Holley T, Ruiz C, Bubendorf L, Sekulic A, Ramanathan RK, Von Hoff DD","Tumors frequently arise as a result of an acquired genomic instability and the subsequent evolution of neoplastic populations with variable genomes. A barrier to the study of the somatic genetics of human solid tumors in vivo is the presence of admixtures of non-neoplastic cells with normal genomes in patient samples. These can obscure the presence of somatic aberrations including mutations, homozygous deletions, and breakpoints in biopsies of interest. Furthermore, clinical samples frequently contain multiple neoplastic populations that cannot be distinguished by morphology. Consequently, it is difficult to determine whether mutations detected in a sample of interest are concurrent in a single clonal population or if they occur in distinct cell populations in the same sample. The advent of targeted therapies increases the selection for preexisting populations. However the asymmetric distribution of therapeutic targets in clonal populations provides a mechanism for the rapid evolution of resistant disease. Thus, there is a need to not only isolate tumor from normal cells, but to also enrich distinct populations of clonal neoplastic cells in order to apply genome technologies to identify clinically relevant genomic aberrations that drive disease in patients in vivo. To address this we have applied single and multiparameter DNA content based flow assays to the study of solid tumors. Our work has identified examples of clonal resistance to effective therapies. This includes androgen withdrawal in advanced prostate cancer. In addition we demonstrate examples of co-existing clonal populations with highly aberrant genomes and ploidies in a wide variety of solid tumors. We propose that clonal analysis of tumors, based on flow cytometry and high resolution genome analyses of purified neoplastic populations, provides a unique approach to the study of therapeutic responses and the evolution of resistance."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23354703,3623246,https://www.ncbi.nlm.nih.gov/pubmed/23354703,Genome instability in Lactobacillus rhamnosus GG.,Applied and environmental microbiology,"Sybesma W, Molenaar D, van IJcken W, Venema K, Kort R","We describe here a comparative genome analysis of three dairy product isolates of Lactobacillus rhamnosus GG (LGG) and the ATCC 53103 reference strain to the published genome sequence of L. rhamnosus GG. The analysis showed that in two of three isolates, major DNA segments were missing from the genomic islands LGGISL1,2. The deleted DNA segments consist of 34 genes in one isolate and 84 genes in the other and are flanked by identical insertion elements. Among the missing genes are the spaCBA genes, which encode pilin subunits involved in adhesion to mucus and persistence of the strains in the human intestinal tract. Subsequent quantitative PCR analyses of six commercial probiotic products confirmed that two more products contain a heterogeneous population of L. rhamnosus GG variants, including genotypes with or without spaC. These results underline the relevance for quality assurance and control measures targeting genome stability in probiotic strains and justify research assessing the effect of genetic rearrangements in probiotics on the outcome of in vitro and in vivo efficacy studies."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23372818,3555872,https://www.ncbi.nlm.nih.gov/pubmed/23372818,Transcriptome analysis of cytokinin response in tomato leaves.,PloS one,"Shi X, Gupta S, Lindquist IE, Cameron CT, Mudge J, Rashotte AM","Tomato is one of the most economically and agriculturally important Solanaceous species and vegetable crops, serving as a model for examination of fruit biology and compound leaf development. Cytokinin is a plant hormone linked to the control of leaf development and is known to regulate a wide range of genes including many transcription factors. Currently there is little known of the leaf transcriptome in tomato and how it might be regulated by cytokinin. We employ high throughput mRNA sequencing technology and bioinformatic methodologies to robustly analyze cytokinin regulated tomato leaf transcriptomes. Leaf samples of two ages, 13d and 35d were treated with cytokinin or the solvent vehicle control dimethyl sulfoxide (DMSO) for 2 h or 24 h, after which RNA was extracted for sequencing. To confirm the accuracy of RNA sequencing results, we performed qPCR analysis of select transcripts identified as cytokinin regulated by the RNA sequencing approach. The resulting data provide the first hormone transcriptome analysis of leaves in tomato. Specifically we identified several previously untested tomato orthologs of cytokinin-related genes as well as numerous novel cytokinin-regulated transcripts in tomato leaves. Principal component analysis of the data indicates that length of cytokinin treatment and plant age are the major factors responsible for changes in transcripts observed in this study. Two hour cytokinin treatment showed a more robust transcript response indicated by both greater fold change of induced transcripts and the induction of twice as many cytokinin-related genes involved in signaling, metabolism, and transport in young vs. older leaves. This difference in transcriptome response in younger vs. older leaves was also found to a lesser extent with an extended (24 h) cytokinin treatment. Overall data presented here provides a solid foundation for future study of cytokinin and cytokinin regulated genes involved in compound leaf development or other developmental processes in tomato."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23349227,4115150,https://www.ncbi.nlm.nih.gov/pubmed/23349227,Whole exome sequencing identifies a mutation for a novel form of corneal intraepithelial dyskeratosis.,Journal of medical genetics,"Soler VJ, Tran-Viet KN, Galiacy SD, Limviphuvadh V, Klemm TP, St Germain E, Fournié PR, Guillaud C, Maurer-Stroh S, Hawthorne F, Suarez C, Kantelip B, Afshari NA, Creveaux I, Luo X, Meng W, Calvas P, Cassagne M, Arné JL, Rozen SG, Malecaze F, Young TL","Corneal intraepithelial dyskeratosis is an extremely rare condition. The classical form, affecting Native American Haliwa-Saponi tribe members, is called hereditary benign intraepithelial dyskeratosis (HBID). Herein, we present a new form of corneal intraepithelial dyskeratosis for which we identified the causative gene by using deep sequencing technology."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23352666,3743234,https://www.ncbi.nlm.nih.gov/pubmed/23352666,High-resolution enzymatic mapping of genomic 5-hydroxymethylcytosine in mouse embryonic stem cells.,Cell reports,"Sun Z, Terragni J, Jolyon T, Borgaro JG, Liu Y, Yu L, Guan S, Wang H, Sun D, Cheng X, Zhu Z, Pradhan S, Zheng Y","We describe the use of a unique DNA-modification-dependent restriction endonuclease AbaSI coupled with sequencing (Aba-seq) to map high-resolution hydroxymethylome of mouse E14 embryonic stem cells. The specificity of AbaSI enables sensitive detection of 5-hydroxymethylcytosine (5hmC) at low-occupancy regions. Bioinformatic analysis suggests 5hmCs in genic regions closely follow the 5mC distribution. 5hmC is generally depleted in CpG islands and only enriched in a small set of repetitive elements. A regularly spaced and oscillating 5hmC pattern was observed at the binding sites of CTCF. 5hmC is enriched at the poised enhancers with the monomethylated histone H3 lysine 4 (H3K4me1) marks, but not at the active enhancers with the acetylated histone H3 lysine 27 (H3K27Ac) marks. Non-CG hydroxymethylation appears to be prevalent in the mitochondrial genome. We propose that some amounts of transiently stable 5hmCs may indicate a poised epigenetic state or demethylation intermediate, whereas others may suggest a locally accessible chromosomal environment for the TET enzymatic apparatus."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23352810,3574201,https://www.ncbi.nlm.nih.gov/pubmed/23352810,Combined deficiency of Tet1 and Tet2 causes epigenetic abnormalities but is compatible with postnatal development.,Developmental cell,"Dawlaty MM, Breiling A, Le T, Raddatz G, Barrasa MI, Cheng AW, Gao Q, Powell BE, Li Z, Xu M, Faull KF, Lyko F, Jaenisch R","Tet enzymes (Tet1/2/3) convert 5-methylcytosine (5mC) to 5-hydroxymethylcytosine (5hmC) in various embryonic and adult tissues. Mice mutant for either Tet1 or Tet2 are viable, raising the question of whether these enzymes have overlapping roles in development. Here we have generated Tet1 and Tet2 double-knockout (DKO) embryonic stem cells (ESCs) and mice. DKO ESCs remained pluripotent but were depleted of 5hmC and caused developmental defects in chimeric embryos. While a fraction of double-mutant embryos exhibited midgestation abnormalities with perinatal lethality, viable and overtly normal Tet1/Tet2-deficient mice were also obtained. DKO mice had reduced 5hmC and increased 5mC levels and abnormal methylation at various imprinted loci. Nevertheless, animals of both sexes were fertile, with females having smaller ovaries and reduced fertility. Our data show that loss of both enzymes is compatible with development but promotes hypermethylation and compromises imprinting. The data also suggest a significant contribution of Tet3 to hydroxylation of 5mC during development."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405360,3569364,https://www.ncbi.nlm.nih.gov/pubmed/23405360,Draft Genome Sequence of Fructophilic Lactobacillus florum.,Genome announcements,"Kim EB, Tyler CA, Kopit LM, Marco ML","Herein we report the first genome sequence for Lactobacillus florum. L. florum 2F was isolated from Valencia orange leaves and is fructophilic, like other strains of this species. The draft genome of L. florum 2F contains 1,261,842 bp with a G+C content of 41.5% in 46 contigs (≥500 bp)."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405351,3569354,https://www.ncbi.nlm.nih.gov/pubmed/23405351,"Draft Genome Sequences of Pseudomonas fluorescens BS2 and Pusillimonas noertemannii BS8, Soil Bacteria That Cooperate To Degrade the Poly-γ-d-Glutamic Acid Anthrax Capsule.",Genome announcements,"Stabler RA, Negus D, Pain A, Taylor PW","A mixed culture of Pseudomonas fluorescens BS2 and Pusillimonas noertemannii BS8 degraded poly-γ-d-glutamic acid; when the 2 strains were cultured separately, no hydrolytic activity was apparent. Here we report the draft genome sequences of both soil isolates."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405333,3569328,https://www.ncbi.nlm.nih.gov/pubmed/23405333,Draft Genome Sequence of the Opportunistic Human Pathogen Morganella morganii SC01.,Genome announcements,"Khatri I, Dureja C, Raychaudhuri S, Subramanian S","We report the 4.1-Mb draft genome sequence of Morganella morganii SC01, a gammaproteobacterium, isolated from an Indian human fecal sample."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405323,3569312,https://www.ncbi.nlm.nih.gov/pubmed/23405323,"Draft Genome Sequence of Clostridium sp. Maddingley, Isolated from Coal-Seam Gas Formation Water.",Genome announcements,"Rosewarne CP, Greenfield P, Li D, Tran-Dinh N, Bradbury MI, Midgley DJ, Hendry P","Clostridium sp. Maddingley was isolated as an axenic culture from a brown coal-seam formation water sample collected from Victoria, Australia. It lacks the solventogenesis genes found in closely related clostridial strains. Metabolic reconstructions suggest that volatile fatty acids are the main fermentation end products."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405310,3569299,https://www.ncbi.nlm.nih.gov/pubmed/23405310,Draft Genome Sequence of the First Isolate of Extensively Drug-Resistant (XDR) Mycobacterium tuberculosis in Malaysia.,Genome announcements,"Ng KP, Yew SM, Chan CL, Chong J, Tang SN, Soo-Hoo TS, Na SL, Hassan H, Ngeow YF, Hoh CC, Lee KW, Yee WY",The emergence of the global threat of extensively drug-resistant (XDR) Mycobacterium tuberculosis reveals weaknesses in tuberculosis management and diagnostic services. We report the draft genome sequence of the first extensively drug-resistant Mycobacterium tuberculosis strain isolated in Malaysia. The sequence was also compared against a reference strain to elucidate the polymorphism that is related to their extensive resistance.
